City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,taizhou,32.4933,119.9106,298.08,75,100,1.6,CN,1727232279
322,lompoc,34.6391,-120.4579,290.76,88,100,3.09,US,1727232279
323,bure,10.7,37.0667,284.69,92,11,1.62,ET,1727232279
324,ciudad melchor muzquiz,27.8833,-101.5167,300.53,51,11,2.47,MX,1727232279
325,bathsheba,13.2167,-59.5167,300.49,89,40,3.09,BB,1727232280
326,nogliki,51.8333,143.1667,291.43,57,71,3.18,RU,1727232280
327,ventspils,57.3894,21.5606,290.11,77,75,3.09,LV,1727232280
328,uige,-7.6087,15.0613,293.41,90,100,0.69,AO,1727232280
329,altamira,-3.2033,-52.2064,295.09,96,10,0.98,BR,1727232280
330,itaituba,-4.2761,-55.9836,295.67,92,66,1.11,BR,1727232228
331,kiruna,67.8557,20.2251,272.66,93,100,2.57,SE,1727232073
332,chabahar,25.2919,60.643,300.33,79,99,2.35,IR,1727232280
333,naranjo,10.0987,-84.3782,292.55,98,100,1.01,CR,1727232280
334,santa maria do suacui,-18.1903,-42.4142,291.56,67,0,1.23,BR,1727232281
335,broken hill,-31.95,141.4333,288.92,81,100,2.63,AU,1727232281
336,alaior,39.9303,4.1404,293.01,94,20,1.03,ES,1727232281
337,vazante,-17.9869,-46.9078,298.14,32,18,0.88,BR,1727232281
338,yakeshi,49.2833,120.7333,287.9,55,0,2.01,CN,1727232281
339,tambovka,50.0969,128.0489,284.14,96,100,6.05,RU,1727232281
340,laguna,38.421,-121.4238,305.25,29,0,1.54,US,1727232281
341,akrehamn,59.2667,5.1833,279.29,93,100,1.54,NO,1727232281
342,guardo,42.7897,-4.8482,283.24,97,100,1.28,ES,1727232282
343,verkhnevilyuysk,63.4453,120.3167,282.6,86,100,2.63,RU,1727232282
344,raja,8.4596,25.678,292.62,95,89,1.36,SS,1727232282
345,massawa,15.6097,39.45,303.02,73,17,1.36,ER,1727232282
346,auki,-8.7676,160.7034,303.63,63,48,0.66,SB,1727232282
347,touros,-5.1989,-35.4608,297.58,81,36,7.59,BR,1727232254
348,dakhla,23.6848,-15.958,293.58,85,5,9.24,EH,1727232282
349,wotho,10.1657,166.0102,302.0,75,92,3.63,MH,1727232282
350,kilindoni,-7.9139,39.6668,297.66,81,64,3.74,TZ,1727232282
351,arkalyk,50.2486,66.9114,279.21,56,71,4.16,KZ,1727232282
352,kuacjok,8.3002,27.9903,294.19,94,21,1.38,SS,1727232283
353,torrington,41.8007,-73.1212,288.22,90,100,1.34,US,1727232208
354,guiratinga,-16.3494,-53.7583,300.08,24,45,0.76,BR,1727232283
355,cadale,2.7603,46.3222,298.09,83,97,7.29,SO,1727232283
356,hurricane,37.1753,-113.2899,301.66,15,0,0.45,US,1727232002
357,ulubey,40.8721,37.7588,288.22,86,100,2.35,TR,1727232283
358,jamestown,42.097,-79.2353,289.83,92,100,7.2,US,1727232238
359,arfoud,31.4348,-4.2375,296.98,61,1,2.12,MA,1727232284
360,suntar,62.1444,117.6319,285.75,75,93,2.23,RU,1727232284
361,ocean shores,46.9737,-124.1563,287.05,95,95,1.34,US,1727232054
362,margate,51.3813,1.3862,285.3,82,100,5.15,GB,1727232044
